"Date","BE WAT2 Tile Nitrate-N concentration","BE WAT20 Tile Nitrate-N loss","BE Sampling Method","BW WAT2 Tile Nitrate-N concentration","BW WAT20 Tile Nitrate-N loss","BW Sampling Method"
2013-06-22 16:00:00,NA,"",NA,23,"","I"
2015-06-04 08:00:00,17.5,"","G",NA,"",NA
2015-06-10 08:00:00,19.1,"","G",NA,"",NA
2015-06-22 06:00:00,NA,"",NA,21.3,"","I"
2015-06-22 22:00:00,NA,"",NA,24.2,"","I"
2015-06-23 03:00:00,NA,"",NA,25.6,"","I"
2015-06-23 08:00:00,24.7,"","G",NA,"",NA
2015-06-23 12:00:00,NA,"",NA,26.5,"","I"
2015-06-23 17:00:00,NA,"",NA,26,"","I"
2015-06-23 21:00:00,NA,"",NA,25.5,"","I"
2015-06-24 02:00:00,NA,"",NA,25.5,"","I"
2015-06-24 07:00:00,NA,"",NA,25.3,"","I"
2015-06-24 08:00:00,NA,"",NA,25.5,"","I"
2015-06-24 11:00:00,NA,"",NA,25.1,"","I"
2015-06-24 16:00:00,NA,"",NA,24.8,"","I"
2015-06-24 21:00:00,NA,"",NA,24.6,"","I"
2015-06-25 02:00:00,NA,"",NA,24.1,"","I"
2015-06-25 08:00:00,NA,"",NA,23.8,"","I"
2015-06-25 14:00:00,NA,"",NA,23.4,"","I"
2015-06-25 20:00:00,NA,"",NA,22.9,"","I"
2015-06-26 02:00:00,NA,"",NA,22.6,"","I"
2015-06-26 08:00:00,23.1,"","G",NA,"",NA
2015-06-26 10:00:00,NA,"",NA,21.9,"","I"
2015-06-26 12:00:00,NA,"",NA,21.9,"","I"
2015-06-26 20:00:00,NA,"",NA,21.1,"","I"
2015-06-27 06:00:00,NA,"",NA,20.3,"","I"
2015-06-27 16:00:00,NA,"",NA,19.7,"","I"
2015-06-28 04:00:00,NA,"",NA,19.2,"","I"
2015-06-28 19:00:00,NA,"",NA,19.2,"","I"
2015-06-29 03:00:00,NA,"",NA,19.2,"","I"
2015-06-30 08:00:00,19.9,"","G",NA,"",NA
2015-06-30 11:00:00,NA,"",NA,18.8,"","I"
2015-06-30 22:00:00,NA,"",NA,19.4,"","I"
2015-07-06 08:00:00,20.1,"","G",NA,"",NA
2015-07-06 21:00:00,NA,"",NA,20.4,"","I"
2015-07-07 04:00:00,NA,"",NA,20.3,"","I"
2015-07-07 11:00:00,NA,"",NA,20.3,"","I"
2015-07-07 17:00:00,NA,"",NA,20.2,"","I"
2015-07-10 08:00:00,19,"","G",NA,"",NA
2015-07-16 08:00:00,13.6,"","G",NA,"",NA
2015-07-18 01:00:00,NA,"",NA,20.2,"","I"
2015-07-18 08:00:00,NA,"",NA,20.2,"","I"
2015-07-18 16:00:00,NA,"",NA,20.2,"","I"
2015-07-19 00:00:00,NA,"",NA,20.4,"","I"
2015-07-19 11:00:00,NA,"",NA,20.4,"","I"
