"Date","BE WAT2 Tile Nitrate-N concentration","BE WAT20 Tile Nitrate-N loss","BE Sampling Method","BW WAT2 Tile Nitrate-N concentration","BW WAT20 Tile Nitrate-N loss","BW Sampling Method"
2013-05-15 08:00:00,10.4,"","G",NA,"",NA
2013-05-24 08:00:00,13.6,"","G",NA,"",NA
2013-05-31 08:00:00,13.6,"","G",NA,"",NA
2013-06-16 11:00:00,NA,"",NA,19.5,"","I"
2013-06-22 21:00:00,NA,"",NA,25.9,"","I"
2013-06-22 23:00:00,NA,"",NA,26.1,"","I"
2013-06-23 01:00:00,NA,"",NA,26.3,"","I"
2013-06-23 03:00:00,NA,"",NA,30.3,"","I"
2013-06-23 04:00:00,NA,"",NA,30,"","I"
2013-06-23 06:00:00,36.2,"","I",29.9,"","I"
2013-06-23 06:00:00,35.7,"","I",29.9,"","I"
2013-06-23 07:00:00,36.1,"","I",31.3,"","I"
2013-06-23 07:00:00,35.8,"","I",31.3,"","I"
2013-06-23 08:00:00,35.6,"","I",NA,"",NA
2013-06-23 09:00:00,23,"","I",34.5,"","I"
2013-06-23 09:00:00,33.4,"","I",34.5,"","I"
2013-06-23 10:00:00,25.3,"","I",34.6,"","I"
2013-06-23 11:00:00,26.9,"","I",NA,"",NA
2013-06-23 11:00:00,26.3,"","I",NA,"",NA
2013-06-23 12:00:00,27,"","I",34.7,"","I"
2013-06-23 13:00:00,27.3,"","I",34.8,"","I"
2013-06-23 13:00:00,27.9,"","I",34.8,"","I"
2013-06-23 14:00:00,27.8,"","I",NA,"",NA
2013-06-23 15:00:00,28.1,"","I",35,"","I"
2013-06-23 15:00:00,28.9,"","I",35,"","I"
2013-06-23 16:00:00,28.8,"","I",NA,"",NA
2013-06-23 17:00:00,29.5,"","I",34.9,"","I"
2013-06-23 18:00:00,29.4,"","I",35.3,"","I"
2013-06-23 19:00:00,29.1,"","I",NA,"",NA
2013-06-23 20:00:00,28.7,"","I",35.4,"","I"
2013-06-23 21:00:00,28.4,"","I",35.4,"","I"
2013-06-23 22:00:00,28.3,"","I",NA,"",NA
2013-06-23 23:00:00,27.9,"","I",35.6,"","I"
2013-06-24 01:00:00,27.6,"","I",35.5,"","I"
2013-06-24 02:00:00,27.5,"","I",35.1,"","I"
2013-06-24 04:00:00,26.9,"","I",35.4,"","I"
2013-06-24 06:00:00,26.2,"","I",35.8,"","I"
2013-06-24 08:00:00,NA,"",NA,35.4,"","I"
2013-06-24 09:00:00,25.8,"","I",35.3,"","I"
2013-06-24 11:00:00,NA,"",NA,35.4,"","I"
2013-06-24 12:00:00,25.5,"","I",NA,"",NA
2013-06-24 13:00:00,NA,"",NA,35.4,"","I"
2013-06-24 14:00:00,NA,"",NA,36,"","I"
2013-06-24 16:00:00,25.4,"","I",35.9,"","I"
2013-06-24 18:00:00,NA,"",NA,35.6,"","I"
2013-06-24 20:00:00,NA,"",NA,35.7,"","I"
2013-06-24 22:00:00,25,"","I",35.8,"","I"
2013-06-24 23:00:00,NA,"",NA,35.8,"","I"
2013-06-25 01:00:00,NA,"",NA,35.7,"","I"
2013-06-25 03:00:00,NA,"",NA,35.9,"","I"
2013-06-25 05:00:00,NA,"",NA,35.7,"","I"
2013-06-25 06:00:00,25.1,"","I",NA,"",NA
2013-06-25 07:00:00,NA,"",NA,35.4,"","I"
2013-06-25 09:00:00,NA,"",NA,35.1,"","I"
2013-06-25 10:00:00,NA,"",NA,35,"","I"
2013-06-25 12:00:00,NA,"",NA,35,"","I"
2013-06-25 14:00:00,NA,"",NA,34.8,"","I"
2013-06-25 16:00:00,NA,"",NA,34.8,"","I"
2013-06-25 18:00:00,NA,"",NA,34.7,"","I"
2013-06-25 20:00:00,NA,"",NA,34.7,"","I"
2013-06-25 22:00:00,NA,"",NA,34.2,"","I"
2013-06-26 00:00:00,NA,"",NA,33.9,"","I"
2013-06-26 02:00:00,NA,"",NA,33.8,"","I"
2013-06-26 04:00:00,23.7,"","I",33.4,"","I"
2013-06-26 06:00:00,NA,"",NA,33.3,"","I"
2013-06-26 07:00:00,NA,"",NA,33.3,"","I"
2013-06-26 23:00:00,22.2,"","I",NA,"",NA
2013-06-27 16:00:00,NA,"",NA,33.2,"","I"
2013-06-29 08:00:00,21.4,"","I",NA,"",NA
